level,ourName,euclideaDescription
Delta 01,01 CDoubleSeq,Construct a point C on the line AB such that $|AC|=2|AB|$ using only compass.
Delta 02,02 Angle60Drop,Construct a straight line through the given point that makes angle of $60^\circ$ with the given line.
Delta 03,03 EquilateralAboutCircle,Construct an equilateral triangle that is circumscribed about the circle and contains the given point.
Delta 04,04 EquilateralInCircle,Inscribe an equilateral triangle in the circle using the given point as a vertex. The center of the circle is not given.
Delta 05,05 CutTwoRectangles,Construct a line that cuts each of the rectangles into two parts of equal area.
Delta 06,06 Sqrt2,Let $|AB|= 1$. Construct a point C on the ray AB such that the length of AC is equal to square root of 2.
Delta 07,07 Sqrt3,Let $|AB| = 1$. Construct a point C on the ray AB such that the length of AC is equal to square root of 3.
Delta 08,08 Angle15,Construct an angle of $15^\circ$ with the given side.
Delta 09,09 SquareByOppMidpoints,"Construct a square, given two midpoints of opposite sides."
Delta 10,10 SquareByAdjMidpoints,"Construct a square, given two midpoints of adjacent sides."
Epsilon 01,01 Parallel,Construct a line parallel to the given line through the given point.
Epsilon 02,02 TParallel,Tutorial level for the Parallel tool.
Epsilon 03,03 Parallelogram3V,Construct a parallelogram whose three of four vertices are given
Epsilon 04,04 LineAlongPoints,Construct a line through the point C and at equal distance from the points A and B but that does not pass between them.
Epsilon 05,05 LineBetweenPoints,Construct a line through the point C that goes between the points A and B and that is at equal distance from them.
Epsilon 06,06 Hash,Construct a line through the given point on which two pairs of parallel lines cut off equal line segments.
Epsilon 07,07 ShiftAngle,Construct an angle from the given point that is equal to the given angle so that their sides are parallel.
Epsilon 08,08 EquidistantParallel,Construct a straight line parallel to the given parallel lines that lies at equal distance from them.
Epsilon 09,09 SquareAboutCircle,Circumscribe a square about the circle. Two of its sides should be parallel to the given line.
Epsilon 10,10 SquareInSquare,Inscribe a square in the square. A vertex is given.
Epsilon 11,11 CircleInOutSquare,Construct a circle that is tangent to a side of the square and goes through the vertices of the opposite side.
Epsilon 12,12 HexagonBySide,Construct a regular hexagon with the given side.
Zeta 01,01 PtSymmetry,Reflect the segment across the point.
Zeta 02,02 MirrorSeq,Reflect the segment across the line.
Zeta 03,03 ShiftSegment,Construct a segment from the given point that is equal to the given segment and lies on the same line with it.
Zeta 04,04 GivenAngleBisector,Construct two straight lines through the two given points respectively so that the given line is a bisector of the angle that they make.
Zeta 05,05 CircleByRadius,Construct a circle with the given center and the radius equal to the length of the given segment.
Zeta 06,06 TCircleByRadius,Tutorial level for the Compass tool.
Zeta 07,07 TranslateSegment,Construct a segment from the given point parallel and equal to the given segment.
Zeta 08,08 TriangleBySides,Construct a triangle with the side AB and the two other sides equal to the given segments.
Zeta 09,09 ParallelogramBySP,Construct a parallelogram with the given side an the midpoint of the opposite side in the given point.
Zeta 10,10 9PointCircle,Construct a circle that passes through the midpoints of sides of the given acute triangle.
Zeta 11,11 4SymmetricLines,Three lines are intersected in a point. Construct a line so that the set of all 4 lines is mirror symmetric.
Zeta 12,12 ParallelogramBy3Midpoints,Construct a parallelogram given three of the midpoints.
